/Vin (Cout=2e-11) X,/Vin (Cout=2e-11) Y
50.00000000363428,0.005996556851073365
50.00000000408522,0.006740617664036108
50.00000000470425,0.007762008635836536
50.00000000562554,0.009282148383249478
50.0000000072094,0.01189551177560588
50.00000001037711,0.01712223856031869
50.00000001668163,0.02752469292488513
50.00000002875174,0.04744037482851127
50.00000005289196,0.08727173863576354
50.0000001011724,0.1669344662502681
50.00000019773329,0.3262599214792772
50.00000039085505,0.6449108319372953
50.00000046699817,0.7705469744934135
50.00000050506972,0.833365039909495
50.0000005241055,0.8647740784795133
50.00000053362339,0.8804785977645224
50.00000054418991,0.8979133500730541
50.00000055509813,0.9159119073842703
50.00000056507214,0.9323690342455393
50.00000058502017,0.9652832879680773
50.00000062491624,1.031111795413153
50.00000067169066,1.108289583839905
50.00000072152709,1.190519705218662
50.00000077615065,1.280648571722054
50.0000008362699,1.379845343052466
50.00000090351917,1.490806622683749
50.00000095175958,1.57040330925895
50.000001,1.64999999583415
50.00000105636666,1.65
50.00000116141187,1.65
50.00000123860224,1.65
50.000001392983,1.65
50.0000015791753,1.65
50.0000017680507,1.65
50.00000198331824,1.65
50.00000223172319,1.65
50.00000252325561,1.65
50.0000028700676,1.65
50.0000032834117,1.65
50.00000377650948,1.65
50.0000043652357,1.65
50.00000506893264,1.65
50.00000591135256,1.65
50.00000692143184,1.65
50.00000813425059,1.65
50.00000959222393,1.65
50.00001134657177,1.65
50.00001345913193,1.65
50.00001600456418,1.65
50.0000190730167,1.65
50.00001999810025,1.65
50.00002046064202,1.65
50.00002138572556,1.65
