/Vpeak (Cout=1e-12) X,/Vpeak (Cout=1e-12) Y,/Vpeak (Cout=5.222222e-12) X,/Vpeak (Cout=5.222222e-12) Y,/Vpeak (Cout=7.333333e-12) X,/Vpeak (Cout=7.333333e-12) Y,/Vpeak (Cout=2e-11) X,/Vpeak (Cout=2e-11) Y,/Vin (Cout=1e-12) X,/Vin (Cout=1e-12) Y,/Vpeak (Cout=1.155556e-11) X,/Vpeak (Cout=1.155556e-11) Y
0.5563118364814553,1.607671205127446,0.5258490879735397,1.734532804765554,0.5273231710829553,1.737745360032791,0.5187862786240401,1.745006792029719,0.5563118364814553,0.2674777556906116,0.5162471525420202,1.743721608290043
0.5595834986004242,1.599921765576569,0.5282332857073221,1.733388103311542,0.5297672553304802,1.736908394131476,0.5209052062872604,1.744739832086012,0.5595834986004242,0.2398421509575284,0.5182749774816067,1.74327973961138
0.5629930985110105,1.591872464023971,0.5307150109652631,1.732197131178448,0.5323136529358744,1.736036687793175,0.5230993669051749,1.744463423375546,0.5629930985110105,0.2140752678830991,0.5203758945566451,1.742822025811897
0.5665527270635716,1.583498138154153,0.5333022506394777,1.730956124680837,0.5349713201568793,1.735127213014054,0.5253763305588091,1.744176615543516,0.5665527270635716,0.1901234099148956,0.5225506433563656,1.742348314176324
0.5703104850409924,1.574689904925939,0.5360044166602982,1.729660647529518,0.5377503063957159,1.734176573965561,0.5277417385107848,1.743878701726753,0.5703104850409924,0.1677399373280042,0.5248067516422998,1.741856974518883
0.5742884787863688,1.565401351064351,0.5388320562403018,1.728305732278277,0.5406621314337517,1.733180879246117,0.5302030441834263,1.743568747332341,0.5742884787863688,0.1469092422453877,0.5271496531013392,1.741346834244435
0.5785101288724347,1.555584108409686,0.5417973009120448,1.726885667894453,0.5437200033195562,1.732135669049479,0.532768147021594,1.743245762222285,0.5785101288724347,0.1276246235575313,0.5295866190515935,1.740816322099779
0.5830090821702305,1.545167437797657,0.5449140875900325,1.725393897479834,0.5465050026309409,1.731184108094374,0.5354461765807144,1.74290860209551,0.5830090821702305,0.1098513641395173,0.5321253090702234,1.740263784117954
0.587823086938454,1.534072995741628,0.5477520759880816,1.724036340054566,0.5499341384602254,1.730012958420396,0.53824742171562,1.742555977567102,0.587823086938454,0.09356546870742233,0.5347745813056987,1.739687307557143
0.5929962452096539,1.522210125834862,0.5512542603776814,1.722362078565729,0.5530458554391293,1.728950689870157,0.5411836737243981,1.74218641115798,0.5929962452096539,0.07874562985871547,0.5375443986216907,1.73908474178715
0.5985828349580583,1.509467821191491,0.5544314905766297,1.720844135291881,0.556117320915442,1.727902603750322,0.5442684731183521,1.7417982064711,0.5985828349580583,0.06536605741909574,0.5404461654578082,1.738453625527627
0.604649745741323,1.495710248817043,0.5575692702308831,1.719345944886033,0.5593791282782761,1.726790046680927,0.5470776943028586,1.741444733798303,0.604649745741323,0.05339797183281725,0.5434929564742487,1.737791137784608
0.6112804034774423,1.480769344302466,0.5609053145338049,1.717754075277791,0.5627779959318575,1.72563126608499,0.550540183131938,1.74100913140726,0.6112804034774423,0.04280910613190225,0.5462679869782014,1.737187892904507
0.6185808412922084,1.464433291513563,0.5643850964937298,1.716094699988072,0.5663258988662859,1.724422246891845,0.5536818156936135,1.740613959901772,0.6185808412922084,0.0335622832077842,0.549683414328117,1.736445635193056
0.6266883158859324,1.446430465886186,0.5680214821112445,1.714361826161072,0.5700706450202843,1.723146783139451,0.5567835536525514,1.740223867395255,0.6266883158859324,0.02561437608702222,0.5527828341289173,1.735772243492128
0.6357842659227793,1.426405603132994,0.5718645166056643,1.712531785980927,0.5740341307133977,1.721797525121136,0.5600792305127998,1.739809450239783,0.6357842659227793,0.01891500316105899,0.5558418600454991,1.735107804833602
0.6461146005513843,1.403882988900416,0.5759377142982525,1.710593610863293,0.5782395280041365,1.720366711425614,0.5635149949309145,1.73937749031542,0.6461146005513843,0.01340477434073617,0.5590897593513802,1.734402534063204
0.6580225811814914,1.378207795468138,0.5802661671713517,1.70853563048086,0.5827201447445159,1.718843160769171,0.5671032231846892,1.73892644108894,0.6580225811814914,0.009013092567044856,0.5624734851627926,1.733667979622459
0.672004620423701,1.348448488441102,0.5848858039741685,1.706341084541484,0.5875133133458165,1.71721436190122,0.5708927349758913,1.738450177798858,0.672004620423701,0.005655396800418711,0.5660048502099752,1.73290160412447
0.6888103626250459,1.313225920632986,0.5898371816071043,1.703991098312855,0.5926626126911256,1.715465728547775,0.5749061545163664,1.737945872237876,0.6888103626250459,0.003229795648328926,0.5697312512793211,1.732093155676972
0.7096346479751906,1.27039515646403,0.5951679478015749,1.701463536562074,0.5982216414607205,1.713579333084944,0.5791675160598074,1.7374105222334,0.7096346479751906,0.001613290728015748,0.5736742907323958,1.731237990778434
0.736517892206011,1.216407035616577,0.6009370003688094,1.698731065752765,0.6042563974645383,1.711533121501413,0.5837113039368494,1.736839816868974,0.736517892206011,0.0006584727651537392,0.577856793156966,1.730331209825874
0.7665178922060111,1.157853920860417,0.607217317934051,1.695759864454639,0.6108491161379549,1.70929964297651,0.5885762952570482,1.736228911552024,0.7665178922060111,0.0002422385928713133,0.58231159249974,1.72936575453126
0.7965178922060111,1.101041765917173,0.6141004925274381,1.69250755099619,0.6181042068834099,1.706844083890418,0.5938078884274799,1.735572137076854,0.7965178922060111,8.91145981756214e-05,0.5870754405067332,1.72833373281493
0.8265178922060111,1.045923201352272,0.621703753013707,1.688919970594333,0.6261566597709528,1.704121490166772,0.5994620473439264,1.734862506668411,0.8265178922060111,3.278342857715444e-05,0.5921911863726554,1.727225950550393
0.8565178922060112,0.9924513956124016,0.6301800782791003,1.684926584107946,0.635184663725598,1.701072605261289,0.6056078787782855,1.734091395778129,0.8565178922060112,1.206034938472378e-05,0.5977114823257098,1.726031115072688
0.8865178922060112,0.940580635222156,0.6397336056060955,1.680433460249112,0.6454293202245823,1.697617379231741,0.6123317747339604,1.733248026927749,0.8865178922060112,4.436754591941039e-06,0.60370108528158,1.72473534580732
0.9165178922060112,0.8902664874607882,0.6506441004510503,1.675312176449548,0.6572265101365399,1.693644499116294,0.6197438232858175,1.732318672293417,0.9165178922060112,1.632190799849553e-06,0.6102405764591471,1.72332138180842
0.9465178922060112,0.8414658232386618,0.6633073091191354,1.669381575718843,0.6710608028046176,1.688993722761185,0.6279869568322096,1.731285516755374,0.9465178922060112,6.004494392808368e-07,0.6174321126990236,1.721767355916958
0.9765178922060113,0.7941367939284835,0.6783048678165059,1.662376284613178,0.6876617857940511,1.683424407959774,0.6372507768839023,1.73012494084935,0.9765178922060113,2.20893004110323e-07,0.6254075454725168,1.720045066813563
1.006517892206011,0.7482387939724087,0.6965328746270233,1.653889087884689,0.7081879840635653,1.676555654109297,0.6477933130411682,1.728804820093839,1.006517892206011,8.126199491087505e-08,0.6343405735223198,1.718117395393384
1.036517892206011,0.7037324202521201,0.7194562839824107,1.643257589248741,0.734608236079473,1.667742783736335,0.6599765148302331,1.727280123451171,1.036517892206011,2.989461722613385e-08,0.6444656723682137,1.715934284832873
1.066517892206011,0.6605794322232141,0.7494562839824107,1.629414348573384,0.764608236079473,1.657774230893099,0.6743269413459324,1.725485394168031,1.066517892206011,1.099761526290877e-08,0.6561085815743209,1.713426275027264
1.096517892206011,0.6187427145152745,0.7794562839824107,1.615650380346626,0.7946082360794731,1.64784636238148,0.691645622436727,1.723321154402363,1.096517892206011,4.045796586638062e-09,0.6697376561079569,1.710493629663267
1.126517892206011,0.5781862430219923,0.8094562839824108,1.601965263774615,0.8246082360794731,1.637959021948503,0.7132211985940645,1.720627567490803,1.126517892206011,1.48836520885709e-09,0.6860551462139168,1.706987045845779
1.156517892206011,0.5388750554536772,0.8394562839824108,1.588358568388128,0.8546082360794731,1.628112050990278,0.7412809163376457,1.717128813523149,1.156517892206011,5.47538903106215e-10,0.70617035452314,1.702671146605013
1.186517892206011,0.5007752276167878,0.8694562839824108,1.574829862213243,0.8846082360794731,1.618305290570131,0.7712809163376457,1.71339354848507,1.186517892206011,2.014284294915569e-10,0.7319557940305015,1.697149616586284
1.216517892206011,0.4638538573213318,0.8994562839824108,1.561378714489913,0.9146082360794732,1.608538582090288,0.8012809163376458,1.709663878897838,1.216517892206011,7.410139168939622e-11,0.7619557940305015,1.690741083756974
1.246517892206011,0.4280790589693255,0.9294562839824109,1.548004696569764,0.9446082360794732,1.598811767514153,0.8312809163376458,1.705939796802947,1.246517892206011,2.726019410204117e-11,0.7919557940305015,1.684349158510315
1.276517892206011,0.3934199739301619,0.9594562839824109,1.534707382205892,0.9746082360794732,1.589124689438599,0.8612809163376458,1.702221294137245,1.276517892206011,1.002842253683411e-11,0.8219557940305016,1.677973800389654
1.306517892206011,0.3598468055402859,0.9894562839824109,1.52148634763971,1.004608236079473,1.5794771911162,0.8912809163376458,1.698508362811122,1.306517892206011,3.689271110829395e-12,0.8519557940305016,1.671614968199498
1.336517892206011,0.3273308945849787,1.019456283982411,1.508341171620072,1.034608236079473,1.569869116460776,0.9212809163376459,1.694800994734569,1.336517892206011,1.357136625301791e-12,0.8819557940305016,1.665272620572588
1.366517892206011,0.2958448649188943,1.049456283982411,1.495271435399877,1.064608236079473,1.56030031004738,0.9512809163376459,1.691099181825864,1.366517892206011,4.991562718714704e-13,0.9119557940305016,1.658946716158879
1.396517892206012,0.2653628974556015,1.079456283982411,1.482276722725211,1.094608236079473,1.550770617110445,0.9812809163376459,1.687402916014446,1.396517892206012,1.838529328779259e-13,0.9419557940305017,1.652637213688381
1.426517892206012,0.235861253663742,1.109456283982411,1.469356619822061,1.124608236079473,1.541279883541319,1.011280916337646,1.683712189241862,1.426517892206012,6.750155989720952e-14,0.9719557940305017,1.646344071991913
1.456517892206012,0.2073193185189546,1.139456283982411,1.456510715382282,1.154608236079473,1.531827955885624,1.041280916337646,1.680026993462073,1.456517892206012,2.486899575160351e-14,1.001955794030502,1.640067250007831
1.486517892206012,0.1797218157888533,1.169456283982411,1.443738600549368,1.184608236079473,1.522414681340554,1.071280916337646,1.676347320641538,1.486517892206012,9.103828801926284e-15,1.031955794030502,1.633806706784059
