/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
2.148625182724854e-09,0.003323695672529275,2.148625182724854e-09,0.003323695672529275,2.148625182724854e-09,0.003323695672529275,2.148625182724854e-09,0.003323695672529275,2.148625182724854e-09,0.003323695672529275,2.148625182724854e-09,0.003323695672529275
2.305746510241144e-09,0.003581339074152362,2.305746510241144e-09,0.003581339074152362,2.305746510241144e-09,0.003581339074152362,2.305746510241144e-09,0.003581339074152362,2.305746510241144e-09,0.003581339074152362,2.305746510241144e-09,0.003581339074152362
2.460502579684175e-09,0.00383563523606219,2.460502579684175e-09,0.00383563523606219,2.460502579684175e-09,0.00383563523606219,2.460502579684175e-09,0.00383563523606219,2.460502579684175e-09,0.00383563523606219,2.460502579684175e-09,0.00383563523606219
2.623049662733254e-09,0.004103110975314513,2.623049662733254e-09,0.004103110975314513,2.623049662733254e-09,0.004103110975314513,2.623049662733254e-09,0.004103110975314513,2.623049662733254e-09,0.004103110975314513,2.623049662733254e-09,0.004103110975314513
2.801272784183632e-09,0.004396667662831919,2.801272784183632e-09,0.004396667662831919,2.801272784183632e-09,0.004396667662831919,2.801272784183632e-09,0.004396667662831919,2.801272784183632e-09,0.004396667662831919,2.801272784183632e-09,0.004396667662831919
3.005662968434486e-09,0.004733549718968571,3.005662968434486e-09,0.004733549718968571,3.005662968434486e-09,0.004733549718968571,3.005662968434486e-09,0.004733549718968571,3.005662968434486e-09,0.004733549718968571,3.005662968434486e-09,0.004733549718968571
3.245162489025643e-09,0.005128474659825411,3.245162489025643e-09,0.005128474659825411,3.245162489025643e-09,0.005128474659825411,3.245162489025643e-09,0.005128474659825411,3.245162489025643e-09,0.005128474659825411,3.245162489025643e-09,0.005128474659825411
3.53162780644846e-09,0.005600972661795081,3.53162780644846e-09,0.005600972661795081,3.53162780644846e-09,0.005600972661795081,3.53162780644846e-09,0.005600972661795081,3.53162780644846e-09,0.005600972661795081,3.53162780644846e-09,0.005600972661795081
3.883197692876434e-09,0.006180940906355223,3.883197692876434e-09,0.006180940906355223,3.883197692876434e-09,0.006180940906355223,3.883197692876434e-09,0.006180940906355223,3.883197692876434e-09,0.006180940906355223,3.883197692876434e-09,0.006180940906355223
4.330323163162527e-09,0.006918592827546912,4.330323163162527e-09,0.006918592827546912,4.330323163162527e-09,0.006918592827546912,4.330323163162527e-09,0.006918592827546912,4.330323163162527e-09,0.006918592827546912,4.330323163162527e-09,0.006918592827546912
4.929399722924665e-09,0.007906950198238161,4.929399722924665e-09,0.007906950198238161,4.929399722924665e-09,0.007906950198238161,4.929399722924665e-09,0.007906950198238161,4.929399722924665e-09,0.007906950198238161,4.929399722924665e-09,0.007906950198238161
5.798445596328263e-09,0.009340706236618196,5.798445596328263e-09,0.009340706236618196,5.798445596328263e-09,0.009340706236618196,5.798445596328263e-09,0.009340706236618196,5.798445596328263e-09,0.009340706236618196,5.798445596328263e-09,0.009340706236618196
