/Vin (pulse_width=1.833333e-05) X,/Vin (pulse_width=1.833333e-05) Y,/Vin (pulse_width=1.666667e-05) X,/Vin (pulse_width=1.666667e-05) Y,/Vin (pulse_width=1.5e-05) X,/Vin (pulse_width=1.5e-05) Y,/Vin (pulse_width=1.333333e-05) X,/Vin (pulse_width=1.333333e-05) Y,/Vin (pulse_width=1.166667e-05) X,/Vin (pulse_width=1.166667e-05) Y,/Vin (pulse_width=1e-05) X,/Vin (pulse_width=1e-05) Y
5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65
5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65
6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65
7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65
8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65
9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65
1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.0384039753516e-05,1.65
1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.1e-05,1.65
1.276807950703199e-05,1.65,1.276807950703199e-05,1.65,1.276807950703199e-05,1.65,1.276807950703199e-05,1.65,1.26666666666667e-05,1.65,1.1015625e-05,1.624218749999999
1.376807950703199e-05,1.65,1.376807950703199e-05,1.65,1.376807950703199e-05,1.65,1.355070642018265e-05,1.65,1.26822916666667e-05,1.624218749999999,1.10234375e-05,1.611328124999998
1.4768079507032e-05,1.65,1.4768079507032e-05,1.65,1.4768079507032e-05,1.65,1.43333333333333e-05,1.65,1.26901041666667e-05,1.611328124999998,1.10390625e-05,1.585546874999994
1.5768079507032e-05,1.65,1.5768079507032e-05,1.65,1.5384039753516e-05,1.65,1.43489583333333e-05,1.624218749999999,1.26940104166667e-05,1.604882812499997,1.103930664062501e-05,1.585144042968744
