VT("/Vpeak") X,VT("/Vpeak") Y,VT("/Vin") X,VT("/Vin") Y
0.3709662302792502,1.581811184917221,0.3709662302792502,1.58205324227584
0.373369221551584,1.594429889820361,0.373369221551584,1.59467315741992
0.3745707171877509,1.600370183115202,0.3745707171877509,1.600614016120661
0.3769737084600847,1.611560332332862,0.3769737084600847,1.611805202852045
0.3781752040962515,1.616828129177275,0.3781752040962515,1.617073483843295
0.3805781953685853,1.626751452400273,0.3805781953685853,1.626997691655059
0.3817796910047522,1.631422887490998,0.3817796910047522,1.631669538941936
0.384182682277086,1.640222804687888,0.384182682277086,1.640470205310489
0.3853841779132529,1.644365393367893,0.3853841779132529,1.644613142467437
0.3877871691855867,1.652169087657021,0.3877871691855867,1.65241746599629
0.3889886648217536,1.655842701726326,0.3889886648217536,1.656091372105044
0.3913916560940874,1.662762957576279,0.3913916560940874,1.66301215096341
0.3925931517302543,1.6660206906303,0.3925931517302543,1.666270126062864
0.3949961430025881,1.672157523955772,0.3949961430025881,1.672407388290567
0.396197638638755,1.675046458757737,0.396197638638755,1.675296520847158
0.3986006299110887,1.680488562470257,0.3986006299110887,1.680738970089133
0.3998021255472556,1.683050451448408,0.3998021255472556,1.683301017580213
0.4022051168195894,1.687876477354328,0.4022051168195894,1.688127315146214
0.4034066124557563,1.690148346059075,0.4034066124557563,1.690399307593072
0.4058096037280901,1.694428041632012,0.4058096037280901,1.694679209372576
0.407011099364257,1.696442723874789,0.407011099364257,1.696693984546165
0.4094140906365908,1.700237940332271,0.4094140906365908,1.700489349210631
0.4106155862727577,1.702024552740463,0.4106155862727577,1.702276027245464
0.4130185775450915,1.705390138994566,0.4130185775450915,1.705641710309796
0.417824560089759,1.711364131505967,0.417824560089759,1.711615791626343
0.4195036292418908,1.713235685037761,0.4195036292418908,1.713487376531539
0.4228617675461542,1.71667879486855,0.4228617675461542,1.716930471793833
0.4244306612860404,1.718159974890906,0.4244306612860404,1.718411637731432
0.4275684487658127,1.7208998170531,0.4275684487658127,1.721151407505642
0.4291373425056989,1.722165956109143,0.4291373425056989,1.722417506099981
0.4322751299854712,1.724508027554538,0.4322751299854712,1.724759457512638
0.4338440237253574,1.725590349275943,0.4338440237253574,1.725841716839494
0.4369818112051297,1.727592406643217,0.4369818112051297,1.727843613667057
0.4432573861646744,1.731019940286483,0.4432573861646744,1.731270732056388
0.4455744250835609,1.732114855921964,0.4455744250835609,1.732365519701983
0.450208502921334,1.734066716937331,0.450208502921334,1.734317025173488
0.4519708876792303,1.734733404206041,0.4519708876792303,1.734983584479672
0.4554956571950231,1.735954904783986,0.4554956571950231,1.736204783412176
0.4625451962266085,1.738006875284678,0.4625451962266085,1.738256068310517
0.4650916084807547,1.7386372630599,0.4650916084807547,1.738886252920626
0.4701844329890471,1.739748469315786,0.4701844329890471,1.739996946217912
0.4773773879319115,1.741029037616107,0.4773773879319115,1.741276721581546
0.4796644391965444,1.741375926340471,0.4796644391965444,1.741623417815892
0.4842385417258102,1.741995343139585,0.4842385417258102,1.74224233402921
0.4905585385621542,1.742709873069171,0.4905585385621542,1.742956124767974
0.4952792692810771,1.743153596113391,0.4952792692810771,1.743399317890666
0.5,1.743532799574754,0.5,1.743777981382861
0.5000006500918203,1.743531814746342,0.5000006500918203,1.743740194598875
0.500001155904382,1.74353111085585,0.500001155904382,1.743710794656896
0.5000021675295054,1.743529708932025,0.5000021675295054,1.743651996260004
0.5000035129301846,1.743527844461785,0.5000035129301846,1.743573800994081
0.5000041856305242,1.743526911825935,0.5000041856305242,1.743534704676153
0.500004353805609,1.74352672121597,0.500004353805609,1.743524930733652
0.5000044315080858,1.743526721057616,0.5000044315080858,1.743520414865985
0.5000044973746129,1.743526720921622,0.5000044973746129,1.743516586882364
0.5000045482335278,1.743526720816179,0.5000045482335278,1.743513631106148
0.5000046499513575,1.743526720605067,0.5000046499513575,1.743507719568749
0.5000048533870169,1.74352672018266,0.5000048533870169,1.743495896554081
0.5000052602583358,1.743526719337701,0.5000052602583358,1.743472250765266
0.5000060740009735,1.743526717647666,0.5000060740009735,1.743424960149704
0.500007701486249,1.743526714267502,0.500007701486249,1.743330382766733
0.5000109564567998,1.743526707507099,0.5000109564567998,1.743141243392426
0.5000174663979016,1.743526693986232,0.5000174663979016,1.742763026202554
0.500030486280105,1.74352666694445,0.500030486280105,1.742006837995455
0.500056526044512,1.743526612860848,0.500056526044512,1.740495445773412
0.5001086055733259,1.743526504693616,0.5001086055733259,1.737476594113802
0.5002127646309538,1.743526288359135,0.5002127646309538,1.73145459011111
0.5004210827462094,1.743525855690188,0.5004210827462094,1.71947312562775
0.5008377189767208,1.743524990352412,0.5008377189767208,1.695758353955275
0.5016709914377435,1.74352325967739,0.5016709914377435,1.649305513728872
0.503337536359789,1.743519798329508,0.503337536359789,1.560182499280031
0.504872200730252,1.743516610894873,0.504872200730252,1.482377654667315
0.50657214571412,1.743513080182085,0.50657214571412,1.400714536068132
0.5082827685091746,1.743509527294984,0.5082827685091746,1.323079176454734
0.5100633606207298,1.743505829087982,0.5100633606207298,1.24683539739709
0.5118906426084476,1.743502033911718,0.5118906426084476,1.17315800182705
0.5137781510001667,1.743498113651784,0.5137781510001667,1.101620539184294
0.5157250277060501,1.743494070090744,0.5157250277060501,1.032400241649741
